Year,Name,College,POS,Height (in),Weight (lbs),40 Yard,Bench Press,Vert Leap (in),Broad Jump (in),Shuttle,3Cone,power_five,first_round
2017,John Johnson,Boston College,FS,72.63,208,4.61,14,37,119,4.18,6.72,1,
2017,Matt Milano,Boston College,OLB,72.25,223,4.67,24,35,126,4.38,,1,
2016,Mehdi Abdesmad,Boston College,DT,78.25,284,5.1,25,29.5,108,4.62,7.55,1,
2016,Steven Daniels,Boston College,ILB,71.5,243,4.86,16,32,112,4.54,7.33,1,
2016,Justin Simmons,Boston College,FS,74.38,202,4.61,16,40,126,3.85,6.58,1,
2016,Connor Wujciak,Boston College,DT,74,291,4.91,22,34.5,117,4.27,7.32,1,
2015,Seth Betancourt,Boston College,OT,77,300,5.16,,,,,,1,
2015,Andy Gallik,Boston College,C,74.38,306,5.5,29,27,96,4.58,7.66,1,
2015,Brian Mihalik,Boston College,DE,81,288,4.96,,,,,,1,
2015,Tyler Murphy,Boston College,QB,73,210,4.78,,,,,,1,
2015,Shakim Phillips,Boston College,WR,74,206,4.42,,,,,,1,
2015,Ian Silberman,Boston College,OT,77,299,5.17,,,,,,1,
2014,Kasim Edebali,Boston College,OLB,74,253,4.79,19,34.5,114,4.35,7.2,1,
2014,Matt Patchan,Boston College,OT,78.25,302,4.97,22,33.5,,,,1,
2014,Kevin Pierre-Louis,Boston College,OLB,72.5,232,4.51,28,39,127,4.02,6.92,1,
2014,Kaleb Ramsey,Boston College,DT,75,293,,36,,,,,1,
2014,Andre Williams,Boston College,RB,71.38,230,4.56,,38,128,4.06,7.27,1,
2013,Emmett Cleary,Boston College,OT,78.88,316,5.21,24,28.5,108,4.7,7.81,1,
2013,Chris Pantale,Boston College,TE,77.13,254,4.99,17,33.5,110,4.5,7.48,1,
2013,John Wetzel,Boston College,OT,79,315,5.46,22,25,105,4.81,7.9,1,
2012,Luke Kuechly,Boston College,ILB,75.25,242,4.58,27,38,123,4.12,6.92,1,
2011,Anthony Castonzo,Boston College,OT,79,311,5.21,28,29.5,105,4.4,7.25,1,
2011,Sandon Herzlich,Boston College,OLB,76,244,4.91,29,32.5,112,4.46,7.32,1,
2010,Mike McLaughlin,Boston College,ILB,72.25,242,4.84,29,38.5,114,4.11,6.85,1,
2010,Matt Tennant,Boston College,C,76.63,300,5.15,27,25,98,4.62,7.6,1,
2009,Kevin Akins,Boston College,OLB,74,218,4.82,15,31.5,117,4.15,6.78,1,
2009,Ron Brace,Boston College,DT,75,330,5.48,32,28,99,4.73,8.15,1,
2009,B.J. Raji,Boston College,DT,73.5,337,5.12,33,32,103,4.69,7.9,1,
2008,Gosder Cherilus,Boston College,OT,78.38,314,5.19,24,23,102,4.82,7.6,1,
2008,Jo-Lonn Dunbar,Boston College,ILB,72.5,231,4.84,19,27,112,,,1,
2008,Matt Ryan,Boston College,QB,76.75,228,4.94,,,,4.51,7.4,1,
2008,Jamie Silva,Boston College,SS,70.75,204,4.87,,31.5,112,,,1,
2008,DeJuan Tribble,Boston College,CB,68.75,189,4.63,13,32,114,,,1,
2007,Josh Beekman,Boston College,OG,73.63,313,5.4,24,25.5,93,4.81,8.24,1,
2007,James Marten,Boston College,OT,79.5,309,5.09,,30.5,100,4.54,7.68,1,
2006,Will Blackmon,Boston College,CB,72.25,198,4.49,,41,133,4.23,6.67,1,
2006,Mathias Kiwanuka,Boston College,DE,77.75,266,4.74,17,32,120,4.13,7.27,1,
2006,Quinton Porter,Boston College,QB,76.63,233,4.72,,33.5,116,4.1,6.76,1,
2006,Pat Ross,Boston College,C,75.5,301,5.01,23,,,,,1,
2006,Jeremy Trueblood,Boston College,OT,80,316,5.31,20,27.5,96,4.68,7.82,1,
2005,Tim Bulman,Boston College,DT,75.5,294,4.94,35,32.5,115,4.2,7.23,1,
2005,Dave Kashetta,Boston College,TE,75.38,247,4.9,17,35.5,113,4.34,7.34,1,
2017,Ben Boulware,Clemson,ILB,72,238,,20,29.5,111,,7.02,1,
